ID,Phase,Severity,Kind,Title,Title_ES,Amount_COP,Owner,Proposed_JE,Status,Ending,Disposition,Disposition_ES,Period
EX-12.1,12 Assets,HIGH,K1,Vessel basis book 74.18M vs real USD 100k,"Base en libros de embarcaciones 74,18M vs. USD 100k reales",74180754,Kevin/Edwin,,Closed,5,Lock: no undervaluation. Aug TB fleet 176M (Sonata 78.4M + Anna Leeza 60M + velero nuevo 35.2M).,"Lock: sin subvaluación. TB de ago flota 176M (Sonata 78,4M + Anna Leeza 60M + velero nuevo 35,2M).",2026-06
EX-12.2,12 Assets,HIGH,K1,Depreciation stopped; fleet no accum. depreciation,Depreciación detenida; flota sin depreciación acumulada,111825646,Edwin,AJ-07 / R-11,Closed,5,"Lock: office Jun+Jul catch-up is OJ-5 (live). Fleet dep residual stays worklist, off June queue.","Lock: la puesta al día de oficina jun+jul es OJ-5 (vivo). El residual de dep. de flota queda en worklist, fuera de la cola de junio.",2026-06
EX-12.3,12 Assets,HIGH,K1,Art.35 presumptive interest on shareholder receivables,Interés presuntivo Art. 35 sobre cuentas por cobrar a socios,87162000,Edwin,,Closed,5,Decision #14: Art. 35 not imputed.,Decisión #14: Art. 35 no se imputa.,2026-06
EX-12.4,12 Assets,HIGH,K1,Nick 4 roles incl 15M in fleet,"Nick en 4 roles, incl. 15M en flota",15000000,Kevin/Edwin,,Closed,5,Lock: Edwin book-net.,Lock: neteo en libros por Edwin.,2026-06
EX-12.5,12 Assets,MED,K1,Velas Sailing Supply foreign improvement,Mejora extranjera de Velas Sailing Supply,14180754,Edwin,AJ-04b,Closed,5,RA-4 accepted.,RA-4 aceptado.,2026-06
EX-12.6,12 Assets,MED,K1,Veronica loan interest/retefuente/Art.118-1/pagare,Préstamo Verónica: intereses / retefuente / Art. 118-1 / pagaré,40000000,Edwin,AJ-03/AJ-V1,Closed,5,Lock 2026-09-12: no pagaré. Off queue.,Lock 2026-09-12: sin pagaré. Fuera de cola.,2026-06
EX-12.7,12 Assets,MED,K1,Abono Kevin classification,Clasificación del abono de Kevin,5011330,Kevin,,Closed,5,Decision #6.,Decisión #6.,2026-06
EX-12.8,12 Assets,MED,K3,Bank credit 246M schedule/interest,Crédito bancario 246M — tabla de amortización e intereses,246048811,Edwin,,Closed,5,"Lock 2026-09-12: silent amend; no 215,480 line. Off queue.",Lock 2026-09-12: corrección silenciosa; no existe la línea de 215.480. Fuera de cola.,2026-06
EX-13.1,13 Inventory,LOW,K3,Adjustments #42/#43/#44 no count sheets,Ajustes #42/#43/#44 sin actas de conteo,146339,Kevin,,Closed,5,Lock 2026-09-12: count sheets never generated. Leave posted. Off queue.,Lock 2026-09-12: actas de conteo nunca generadas. Se deja contabilizado. Fuera de cola.,2026-06
EX-14.1,14 Recurring,HIGH,K1,Depreciation recurring JE not running,JE recurrente de depreciación no está corriendo,,Edwin,R-11,Closed,5,Lock: collapse → EX-12.2. Catch-up is OJ-5.,Lock: colapsa → EX-12.2. La puesta al día es OJ-5.,2026-06
EX-14.4,14 Recurring,MED,K1,Interest accrual recurring JE not running,JE recurrente de causación de intereses no está corriendo,,Edwin,R-14,Closed,5,Lock: interest already inside payment asientos. No standalone R-14.,Lock: el interés ya está dentro de los asientos de pago. Sin R-14 independiente.,2026-06
